Folio Emetrix,REGIÓN,CIUDAD,ESTADO,GRUPO,CADENA,VOLT,Longitud,Latitud,Volt (burbuja),Folio más cercano,Distancia mín (km),Volt tienda cercana,Volt vs cercana,periodo
1923284,CENTRO,IZTAPALAPA,MEXICO,TIENDAS DE DESCUENTO LA CENTRAL,TIENDAS DE DESCUENTO LA CENTRAL,228.9,-99.09141106,19.37563692,228.9,1923281,0.01156396,228.9,0,13/07/2026-18/07/2026
1923285,CENTRO,IZTAPALAPA,MEXICO,TIENDAS DE DESCUENTO LA CENTRAL,TIENDAS DE DESCUENTO LA CENTRAL,225,-99.08882419,19.37383812,225,1923290,0.075568891,228,-3,13/07/2026-18/07/2026
1923286,CENTRO,IZTAPALAPA,MEXICO,CREMERIA JUCHILICA,CREMERIA JUCHILICA,230.4,-99.023138,19.3449752,230.4,1923288,0.073406379,223.95,6.45,13/07/2026-18/07/2026
1923287,CENTRO,IZTAPALAPA,ESTADO DE MEXICO,SUPER TIENDAZZ,SUPER TIENDAS,213.75,-99.0939953,19.3769123,213.75,1924135,0.058984583,229.95,-16.2,13/07/2026-18/07/2026
1923288,CENTRO,IZTAPALAPA,MEXICO,TIENDAS DE DESCUENTO LA CENTRAL,TIENDAS DE DESCUENTO LA CENTRAL,223.95,-99.023769,19.34469,223.95,1923732,0.027398409,237,-13.05,13/07/2026-18/07/2026
1923289,CENTRO,IZTAPALAPA,MEXICO,DEPOSITO CRISTINA,DEPOSITO CRISTINA,300,-99.08927301,19.36841846,300,1923290,0.53075402,228,72,13/07/2026-18/07/2026
1923290,CENTRO,IZTAPALAPA,MEXICO,LA CABAÑA,LA CABAÑA,228,-99.089027,19.373186,228,1923285,0.075568891,225,3,13/07/2026-18/07/2026
1923295,CENTRO,IZTAPALAPA,MEXICO,ABARROTES Y BEBIDAS ZAY,ABARROTES Y BEBIDAS ZAY,229.95,-99.09082644,19.3750403,229.95,1923296,0.026950288,229.95,0,13/07/2026-18/07/2026
1923296,CENTRO,IZTAPALAPA,MEXICO,ZAY PASILLO 3,ZAY PASILLO 3,229.95,-99.09089674,19.37527342,229.95,1923303,0.014685049,234.9,-4.95,13/07/2026-18/07/2026
1923299,CENTRO,IZTAPALAPA,MEXICO,DEPOSITO EL AGUILA,DEPOSITO EL AGUILA,300,-99.0925966,19.37635236,300,1923263,0.039236884,229.95,70.05,13/07/2026-18/07/2026
1923300,CENTRO,IZTAPALAPA,MEXICO,EL CORCEL,EL CORCEL,229.95,-99.09109245,19.37859611,229.95,1923306,0.114128956,222.45,7.5,13/07/2026-18/07/2026
1923303,CENTRO,IZTAPALAPA,MEXICO,CEDA,CEDA,234.9,-99.09093503,19.37540045,234.9,1923296,0.014685049,229.95,4.95,13/07/2026-18/07/2026
1923305,CENTRO,IZTAPALAPA,MEXICO,GPO MAYORISTA S TIENDAS,GPO MAYORISTA S TIENDAS,229.95,-99.091353,19.376658,229.95,154137,0.021217394,270,-40.05,13/07/2026-18/07/2026
1923306,CENTRO,IZTAPALAPA,MEXICO,CONASUPER,CONASUPER,222.45,-99.09151402,19.3776499,222.45,154137,0.100616841,270,-47.55,13/07/2026-18/07/2026
